stage	secs	usd	in	out	cache_r	cache_w
agent:change-plan	132	0.5299522	26	12510	664801	67960
reviewer:adversarial-review-worker-testability	8	-	-	-	-	-
reviewer:adversarial-review-worker-security	9	-	-	-	-	-
reviewer:adversarial-review-worker-requirements	11	-	-	-	-	-
reviewer:adversarial-review-worker-regression	18	-	-	-	-	-
reviewer:adversarial-review	72	0.231151	4	6346	69255	38458
reviewer:updated-change-plan-review-worker-scope	15	0.17899	2	1087	42365	16014
reviewer:updated-change-plan-review-worker-dispositions	18	0.1938978	2	1750	42634	16526
reviewer:updated-change-plan-review-worker-verification	19	0.237551	4	1553	105659	18173
reviewer:updated-change-plan-review-worker-ownership	19	0.1812202	2	1375	42366	15968
agent:updated-change-plan	52	0.2302332	6	5475	140556	36840
reviewer:manual-checklist-review-worker-base-resources	14	0.26580780000000004	2	1075	58379	16097
reviewer:manual-checklist-review-worker-base-regressions	17	0.2898078	2	1703	59160	16761
reviewer:manual-checklist-review-worker-base-coverage	17	0.27304300000000004	2	1354	58334	16653
reviewer:manual-checklist-review-worker-base-invariants	18	0.3287006	2	1279	62878	16445
agent:implementation	93	0.6330392	38	10112	1180756	73923
agent:implementation	13	0.8535182000000001	10	1133	475025	28531
